Date,Shift,Temperature,Pressure,Speed,Torque,Downtime_min,Production_Output
2024-01-01 00:00:00,A,78.97,111.11,1752,41.23,2.61,490.9
2024-01-01 01:00:00,A,73.89,122.91,1666,30.59,0.34,525.5
2024-01-01 02:00:00,A,80.18,83.22,1511,28.45,2.14,500.7
2024-01-01 03:00:00,A,87.18,106.76,1384,34.97,0.59,493.2
2024-01-01 04:00:00,A,73.13,92.19,1626,33.64,8.26,461.8
2024-01-01 05:00:00,A,73.13,94.15,1571,31.37,14.75,438.5
2024-01-01 06:00:00,A,87.63,92.89,1661,40.57,0.38,524.8
2024-01-01 07:00:00,A,81.14,89.63,1614,42.64,15.52,454.2
2024-01-01 08:00:00,B,71.24,100.58,1689,35.71,3.7,487.3
2024-01-01 09:00:00,B,79.34,90.03,1404,46.82,1.78,487.9
2024-01-01 10:00:00,B,71.29,103.25,1737,25.87,0.4,516.8
2024-01-01 11:00:00,B,71.27,99.4,1536,33.45,3.47,490.8
2024-01-01 12:00:00,B,76.94,97.13,1874,29.27,7.91,540.2
2024-01-01 13:00:00,B,59.69,89.11,1376,20.07,6.14,497.0
2024-01-01 14:00:00,B,61.2,93.08,1812,34.34,0.26,477.3
2024-01-01 15:00:00,B,70.5,109.06,1536,34.03,0.38,529.9
2024-01-01 16:00:00,C,66.9,106.01,1383,47.11,2.58,494.3
2024-01-01 17:00:00,C,77.51,88.27,1413,40.05,1.75,465.1
2024-01-01 18:00:00,C,67.74,101.19,1442,26.81,1.32,519.3
2024-01-01 19:00:00,C,63.7,109.02,1576,49.83,1.65,517.6
2024-01-01 20:00:00,C,86.73,79.97,1594,44.77,8.14,452.1
2024-01-01 21:00:00,C,73.19,106.52,1397,39.66,13.24,438.5
2024-01-01 22:00:00,C,75.54,92.05,1496,33.19,2.6,517.1
2024-01-01 23:00:00,C,63.6,106.85,1886,27.32,11.83,492.8
2024-01-02 00:00:00,A,70.64,90.84,1811,32.02,1.94,520.2
2024-01-02 01:00:00,A,75.89,78.34,1579,43.71,3.24,484.4
2024-01-02 02:00:00,A,65.79,80.47,1507,50.08,1.28,471.9
2024-01-02 03:00:00,A,78.01,100.58,1522,47.35,5.11,458.4
2024-01-02 04:00:00,A,70.19,103.12,1610,31.09,19.31,469.5
2024-01-02 05:00:00,A,72.67,89.15,1316,26.04,4.63,505.5
2024-01-02 06:00:00,A,70.19,107.66,1454,36.13,2.21,494.6
2024-01-02 07:00:00,A,89.82,80.06,1200,20.85,5.22,491.8
2024-01-02 08:00:00,B,74.89,99.21,1572,37.59,0.66,397.3
2024-01-02 09:00:00,B,66.54,85.47,1616,33.82,10.98,387.1
2024-01-02 10:00:00,B,81.58,92.18,1413,31.27,3.5,510.2
2024-01-02 11:00:00,B,65.23,100.57,1783,22.24,2.98,514.0
2024-01-02 12:00:00,B,76.67,89.68,1279,39.11,4.41,495.7
2024-01-02 13:00:00,B,59.32,95.39,1236,30.74,4.9,454.7
2024-01-02 14:00:00,B,64.37,112.08,1540,25.64,0.37,618.3
2024-01-02 15:00:00,B,76.57,93.08,1688,15.0,5.74,495.3
2024-01-02 16:00:00,C,80.91,110.03,1803,34.78,1.38,535.2
2024-01-02 17:00:00,C,76.37,86.44,1417,49.18,6.26,457.1
2024-01-02 18:00:00,C,74.07,106.36,1694,48.29,8.64,484.6
2024-01-02 19:00:00,C,72.59,117.3,1493,31.34,8.15,488.4
2024-01-02 20:00:00,C,63.17,70.34,1469,30.18,4.02,458.6
2024-01-02 21:00:00,C,69.24,90.44,1659,38.75,3.67,503.3
2024-01-02 22:00:00,C,71.31,106.92,1617,27.01,0.77,513.5
2024-01-02 23:00:00,C,83.46,97.56,1216,37.41,7.47,443.3
2024-01-03 00:00:00,A,77.75,104.45,1766,41.13,1.58,553.5
2024-01-03 01:00:00,A,60.9,92.75,1748,44.82,3.43,505.5
2024-01-03 02:00:00,A,77.59,101.04,1387,34.2,1.67,477.4
2024-01-03 03:00:00,A,71.92,98.13,1571,33.37,0.72,521.3
2024-01-03 04:00:00,A,69.58,114.01,1589,27.98,4.97,498.7
2024-01-03 05:00:00,A,79.89,103.05,1547,28.38,0.28,531.6
2024-01-03 06:00:00,A,83.25,104.05,1401,33.19,6.9,501.7
2024-01-03 07:00:00,A,82.45,95.06,1379,37.94,1.91,494.6
2024-01-03 08:00:00,B,68.29,94.15,1495,42.31,0.0,474.0
2024-01-03 09:00:00,B,72.53,94.81,1711,28.57,3.58,493.5
2024-01-03 10:00:00,B,77.65,104.73,1598,46.94,0.24,490.8
2024-01-03 11:00:00,B,82.8,94.95,1433,32.83,1.62,491.9
2024-01-03 12:00:00,B,71.17,103.48,1639,34.83,6.14,492.5
2024-01-03 13:00:00,B,73.51,124.9,1000,29.02,0.32,493.7
2024-01-03 14:00:00,B,66.15,110.45,1707,15.61,9.14,519.1
2024-01-03 15:00:00,B,65.43,96.09,1187,42.07,0.02,502.3
2024-01-03 16:00:00,C,81.5,114.41,1435,40.89,1.42,503.6
2024-01-03 17:00:00,C,85.85,95.1,1298,32.75,6.75,492.4
2024-01-03 18:00:00,C,74.42,75.54,1267,35.54,1.9,480.9
2024-01-03 19:00:00,C,83.03,87.9,1709,39.13,0.54,523.8
2024-01-03 20:00:00,C,77.89,77.55,1416,22.5,2.23,497.5
2024-01-03 21:00:00,C,69.84,95.78,1562,30.77,1.58,517.1
2024-01-03 22:00:00,C,77.89,100.22,1492,41.35,9.25,484.1
2024-01-03 23:00:00,C,87.3,120.12,1586,24.97,1.88,523.9
2024-01-04 00:00:00,A,74.71,103.92,1514,37.35,7.78,501.3
2024-01-04 01:00:00,A,87.52,97.37,1269,24.15,11.12,501.0
2024-01-04 02:00:00,A,55.0,109.95,1679,38.73,2.84,474.0
2024-01-04 03:00:00,A,81.58,73.47,1411,34.71,12.04,451.1
2024-01-04 04:00:00,A,75.7,102.83,1220,22.08,2.37,517.4
2024-01-04 05:00:00,A,72.61,109.25,1423,44.32,16.63,439.0
2024-01-04 06:00:00,A,75.73,82.26,1770,29.12,0.47,535.9
2024-01-04 07:00:00,A,59.1,113.73,1653,28.52,5.81,543.0
2024-01-04 08:00:00,B,73.24,104.06,1437,36.6,3.4,478.8
2024-01-04 09:00:00,B,77.86,95.02,1437,44.19,2.45,460.9
2024-01-04 10:00:00,B,86.82,107.59,1442,26.87,5.01,524.0
2024-01-04 11:00:00,B,70.85,127.25,1874,35.49,6.08,628.2
2024-01-04 12:00:00,B,68.53,102.18,1569,38.43,0.02,499.3
2024-01-04 13:00:00,B,70.99,102.98,1577,40.54,0.91,531.8
2024-01-04 14:00:00,B,82.32,94.49,1685,36.41,6.24,473.6
2024-01-04 15:00:00,B,77.63,89.8,1543,32.06,5.49,504.7
2024-01-04 16:00:00,C,70.76,109.96,1453,28.38,16.91,445.9
2024-01-04 17:00:00,C,79.11,89.73,1465,35.69,7.16,513.6
2024-01-04 18:00:00,C,75.78,100.86,1487,26.42,15.06,506.7
2024-01-04 19:00:00,C,82.75,94.27,1493,15.0,6.06,587.8
2024-01-04 20:00:00,C,69.38,105.75,1631,38.49,1.77,493.7
2024-01-04 21:00:00,C,72.38,104.0,1509,42.23,0.56,518.5
2024-01-04 22:00:00,C,71.86,112.45,1632,16.1,7.61,507.3
2024-01-04 23:00:00,C,63.29,93.88,1485,26.92,5.17,479.4
2024-01-05 00:00:00,A,77.37,96.76,1514,39.95,0.25,505.6
2024-01-05 01:00:00,A,77.09,88.25,1140,51.46,2.23,422.5
2024-01-05 02:00:00,A,75.04,94.67,1665,35.17,15.71,458.6
